date	tau	Tb	pwv	lwp	iwp	o3	RHs	Ts
2021-11-15_00.00.00	0.1169841	31.60712	1.9227495736979088		0.11778951147276155	276.9795295518833	98.97090717494409	-26.873276619856597
2021-11-15_01.00.00	0.1151538	31.20373	1.906718221796751		0.06927836778651987	276.8709989578681	98.1493029952544	-25.721082828411596
2021-11-15_02.00.00	0.1110097	30.28499	1.8450183983007746		0.02235912585634367	277.8411493226143	97.41246116800855	-26.319687805047067
2021-11-15_03.00.00	0.1091972	29.86982	1.8023741286983574		0.03369192568881443	281.92165401220785	97.59591047547548	-26.871670397151888
2021-11-15_04.00.00	0.1079672	29.60079	1.7827489753791845		0.02135115325934125	285.2307205597737	97.5595633850123	-26.69410129245898
2021-11-15_05.00.00	0.1050165	28.94774	1.7319346635952972		0.00881942142579352	285.57239094834006	98.53601688715871	-27.915998404998817
2021-11-15_06.00.00	0.1017131	28.20703	1.6647126574326143		0.0023380656355640648	285.5313011761203	99.68915937893796	-29.989180108373603
2021-11-15_07.00.00	0.1007225	27.97421	1.641867951057528		0.001872900948335178	283.4301027244305	100.0	-31.471084478411854
2021-11-15_08.00.00	0.1044338	28.78621	1.7163849582672688		0.004069210518443175	281.5143293136817	100.0	-29.94735424182943
2021-11-15_09.00.00	0.1074391	29.45297	1.7731193346695784		0.009734852065695396	283.56706863182967	100.0	-28.425915644329194
2021-11-15_10.00.00	0.1109602	30.25658	1.8392452209291887		0.016229984742872527	284.18103319934494	99.47232897122116	-27.154961720562653
2021-11-15_11.00.00	0.1130892	30.759	1.8789999102521913		0.02007707840966883	286.035097513771	98.56470029394285	-26.48859823132554
2021-11-15_12.00.00	0.1145355	31.09211	1.904799712807012		0.023467843360157954	286.0257555456305	98.32160388682462	-26.122203814885097
2021-11-15_13.00.00	0.1138982	30.97083	1.8981963682053429		0.012520154366230891	285.93237308322165	97.37821396054639	-25.55525701016427
2021-11-15_14.00.00	0.1119018	30.51456	1.8562700810721873		0.01549247015885362	286.91439630787556	98.47361811491061	-26.4856508435756
2021-11-15_15.00.00	0.1120765	30.555	1.856000538486852		0.01884358751907141	287.5163391394968	98.54012484602322	-26.204438833427872
2021-11-15_16.00.00	0.1110083	30.32636	1.834085320250097		0.01617114907111018	285.9159967247283	98.37968671596266	-25.7477735100326
2021-11-15_17.00.00	0.1075093	29.56761	1.7669811828761182		0.009987785323241691	285.69644186392736	97.48536292171738	-25.380059665765458
2021-11-15_18.00.00	0.1067479	29.38179	1.7525805486582702		0.007071792263738893	288.5932335864225	97.98043087963048	-25.809388569704822
2021-11-15_19.00.00	0.1056505	29.13817	1.728087474197505		0.007780309330780506	289.39954592824176	99.20396373305077	-25.61249828470875
2021-11-15_20.00.00	0.1075116	29.55842	1.7608867083495379		0.007743488796481885	287.89388864076227	99.03738498464266	-24.726277339716518
2021-11-15_21.00.00	0.1077355	29.60827	1.7622371137104733		0.006721527507703353	286.88421170165253	98.3840939668412	-24.232566168166784
2021-11-15_22.00.00	0.1087679	29.82152	1.777254913692524		0.011255568851527209	286.6373008783683	97.85810707122376	-24.100540390916052
2021-11-15_23.00.00	0.1067789	29.37086	1.7343979417835882		0.012340021539474078	285.7888194134286	97.55109688289164	-24.081816533356545
2021-11-16_00.00.00	0.1047962	28.90447	1.6933371226852543		0.008478705836599156	285.16912312044064	98.29206174173478	-24.495746716703138
2021-11-16_01.00.00	0.1019082	28.2395	1.6351817393125319		0.006072330750590839	285.8053074289117	99.09821991776053	-25.2034830472507
2021-11-16_02.00.00	0.09631566	26.96178	1.5255844078140426		0.0034184102671493103	284.2282641059997	99.83474340984539	-26.467263289727185
2021-11-16_03.00.00	0.09228281	26.04509	1.4489032817782033		0.0017595470727256408	286.14429804972457	100.0	-27.269148590515044
2021-11-16_04.00.00	0.08979719	25.47681	1.4002716367008705		0.0013324881084153528	287.04570492779516	100.0	-27.488504093581355
2021-11-16_05.00.00	0.08379307	24.12185	1.2820938163759834		0.0024024049421126634	286.0693762096174	100.0	-27.657831572355917
2021-11-16_06.00.00	0.07788007	22.78594	1.1630520238130853		0.0025791620546264994	286.6072651481316	100.0	-28.09107347510445
2021-11-16_07.00.00	0.07821371	22.84949	1.1639417237562448		0.002582600891494899	288.64065058806017	100.0	-28.067232398824387
2021-11-16_08.00.00	0.0790043	23.01263	1.1723475035151225		0.002235485086905795	289.1874720857526	100.0	-27.959840675594307
2021-11-16_09.00.00	0.08084788	23.40416	1.2039414245968827		0.0022306560564812877	290.43598332588954	99.86863634135311	-27.870586133524853
2021-11-16_10.00.00	0.07988089	23.16553	1.1818963711969366		0.0015615840488228078	292.49624088134584	98.66057357447681	-27.890138469149008
2021-11-16_11.00.00	0.07800918	22.73925	1.1397564842791754		0.0009373458581386304	294.1419904719369	99.44778930055266	-28.25557391735228
2021-11-16_12.00.00	0.07895071	22.9405	1.1502183863344002		0.0006506808867083495	294.48500074437993	100.0	-28.454323389239192
2021-11-16_13.00.00	0.07795132	22.69244	1.1251374637269274		0.003884237293206091	295.64065058806017	100.0	-28.691698622522154
2021-11-16_14.00.00	0.0762075	22.27786	1.0929727465821042		0.0023577290812815985	295.3197856185797	99.99354575441409	-28.97352960370381
2021-11-16_15.00.00	0.07607356	22.22104	1.0929473180363178		0.00048017500822688245	296.54894298049726	100.0	-30.05068964058225
2021-11-16_16.00.00	0.07563163	22.09865	1.082086935710653		0.0003973629102222754	299.9338246240881	99.87835486281784	-30.616544353273184
2021-11-16_17.00.00	0.07349799	21.61266	1.0387061357585186		0.0005325249050169025	301.5898094387375	100.0	-30.847249299843952
2021-11-16_18.00.00	0.07078327	20.99381	0.9865707362311904		0.0006233948604421575	301.5383727854697	100.0	-30.800476029011577
2021-11-16_19.00.00	0.06785225	20.334	0.9308412361264845		0.0005869548568522452	301.8318817924669	100.0	-30.56503103672074
2021-11-16_20.00.00	0.0675954	20.27757	0.9235178149400184		0.0005202889879438777	303.6119547417002	100.0	-30.173015604938314
2021-11-16_21.00.00	0.06904662	20.61204	0.9472046549196758		0.00026253199509378643	303.6795444394819	99.84546459532395	-29.837760932253985
2021-11-16_22.00.00	0.07056653	20.96103	0.9720483441529303		0.00022443198611900558	300.62892660413877	99.20590462608607	-29.487005725770445
2021-11-16_23.00.00	0.07138215	21.15376	0.9860804140365572		8.336500433781075e-05	299.50234479678426	98.7462943571101	-29.209558976380947
2021-11-17_00.00.00	0.07132944	21.13774	0.9849280521733927		2.6146800490621353e-05	302.1613815691529	97.58738960074034	-29.089937595732692
2021-11-17_01.00.00	0.07083093	21.0363	0.9722948514673766		3.1374009034612734e-05	305.6868021438142	97.99969477036996	-29.004620181274248
2021-11-17_02.00.00	0.07040612	20.95448	0.9595413886977592		0.00010095799802554821	312.2523820157809	98.72810446137426	-28.82604613340891
2021-11-17_03.00.00	0.06892628	20.62427	0.9312394172375624		0.00026892700511562507	313.475695995236	99.62045872201796	-29.117182063986945
2021-11-17_04.00.00	0.06816206	20.45678	0.9160609686780148		0.0002541689951237024	310.9410078904273	99.74232933959397	-29.23122395295374
2021-11-17_05.00.00	0.06831583	20.49558	0.9195530559128847		0.00032276901905645134	310.0080020842638	99.92916671276244	-29.338669645109746
2021-11-17_06.00.00	0.06761993	20.34173	0.909643701199629		0.00027233000269243426	311.0744752121483	99.80165607921383	-29.425947101878023
2021-11-17_07.00.00	0.06754103	20.32579	0.9114389565321447		0.0003799099530319801	309.3900923031115	99.92841060150728	-29.57334840394458
2021-11-17_08.00.00	0.06883526	20.61408	0.9381422203607862		0.000416900110688964	307.60864225100494	99.94616075569931	-29.74222883503799
2021-11-17_09.00.00	0.06912122	20.67553	0.9448359110898374		0.00044628862895264304	305.3795593270805	99.94614607419	-29.938258569027283
2021-11-17_10.00.00	0.06839233	20.51369	0.931442546444491		0.00048413707481975645	306.801771624237	99.96398765195923	-30.025841076201914
2021-11-17_11.00.00	0.06686266	20.17297	0.9035941005773775		0.000469598528135938	310.3900550841149	99.94548954595808	-29.92103761280444
2021-11-17_12.00.00	0.06418547	19.56241	0.8540048463816675		0.0004114679749902773	313.0090442161679	99.91868614107813	-29.875623116322714
2021-11-17_13.00.00	0.06100639	18.83168	0.7956496245550004		0.00038923804110449636	311.48146493970523	99.89987143488933	-29.923092935191136
2021-11-17_14.00.00	0.05895099	18.35394	0.7593301821880515		0.0003976399317916654	302.3716688998065	99.8722661608228	-29.899541960789094
2021-11-17_15.00.00	0.05623607	17.73444	0.7059831872438448		0.0003610844526879469	291.7160934941194	99.84081378733573	-29.855827492016203
2021-11-17_16.00.00	0.05319389	17.04518	0.6443880695246358		0.0002317700062823466	282.30076671132946	99.53011570465111	-29.880061012256533
2021-11-17_17.00.00	0.05272698	16.9359	0.6348392018428216		1.3722999371765338e-05	279.9113815691529	95.34993638431277	-29.98647683060517
2021-11-17_18.00.00	0.05384033	17.19273	0.6585900619259879		2.0173000867562147e-06	282.58995831472384	88.45913353756087	-29.902933998962283
2021-11-17_19.00.00	0.05621919	17.73716	0.7047835582014539		2.280899871361474e-06	282.92117016525236	86.7627399477906	-30.023426585019962
2021-11-17_20.00.00	0.05890124	18.35154	0.7530618960720376			282.5797230906655	91.60989451987334	-30.35107966122021
2021-11-17_21.00.00	0.05888588	18.34996	0.7525829419331678		0.00022929000508570914	279.9294327824922	98.56329301240791	-30.493797226963864
2021-11-17_22.00.00	0.05615761	17.7264	0.7050510066712538		0.0004031399766655697	277.3907250260533	99.99147034560626	-30.46045624333769
2021-11-17_23.00.00	0.053771	17.16991	0.6639620665928739		0.00043117001226553384	276.6134435015632	99.99571654022051	-30.770373737024528
2021-11-18_00.00.00	0.05310333	17.00546	0.6530379633230622		5.994899332874622e-05	276.97800357302367	99.55092277428047	-31.19871738952432
2021-11-18_01.00.00	0.05456775	17.346	0.6841481437161576		2.0060998593950995e-06	275.2726663689147	93.31476776910974	-31.07534186436999
2021-11-18_02.00.00	0.05956214	18.50459	0.775290932479732		0.00022533000269243426	272.9184531785023	97.14501718030286	-31.005666451446558
2021-11-18_03.00.00	0.06382783	19.4752	0.8522598498220002		0.0006840201035091393	269.96419532529404	99.98706775027405	-31.153226300072106
2021-11-18_04.00.00	0.06610569	20.00994	0.8938791994495467		0.0007850501091931671	268.4249665029031	100.0	-30.467678392117875
2021-11-18_05.00.00	0.06707557	20.24457	0.9139327489753791		0.0006606500732940437	271.55742891171656	100.0	-29.831829442307026
2021-11-18_06.00.00	0.06756434	20.3397	0.9261525114428455		0.0012047261196039129	271.8343754652375	100.0	-30.12039813876862
2021-11-18_07.00.00	0.07367047	21.69298	1.0440030514254943		0.004671391390193556	272.0725770433229	100.0	-29.78677621625971
2021-11-18_08.00.00	0.07667577	22.36518	1.0968226284141562		0.004754488886229694	272.7945511389013	100.0	-28.825073776492076
2021-11-18_09.00.00	0.07648821	22.33139	1.08725162293954		0.0068650013462171295	274.69856334673216	100.0	-27.953295538682823
2021-11-18_10.00.00	0.07600735	22.23517	1.0776240763454692		0.0053221108684596286	275.8597216019056	100.0	-27.334394196783904
2021-11-18_11.00.00	0.07280273	21.52954	1.0172821371944833		0.0025672010650073292	275.7167262170612	100.0	-27.409975245590147
2021-11-18_12.00.00	0.07025254	20.95072	0.96929039399288		0.0038260358392915904	272.1629075480125	100.0	-27.78678607670551
2021-11-18_13.00.00	0.06918861	20.70071	0.9504044634576838		0.004074499655966734	270.34312192943275	100.0	-27.799445939635888
2021-11-18_14.00.00	0.0683676	20.51142	0.9368516468722887		0.004292380411044964	270.67958165847847	100.0	-27.990150742099246
2021-11-18_15.00.00	0.0673957	20.28326	0.9211290274329136		0.004942438747120591	271.4269391097216	100.0	-28.301284994017493
2021-11-18_16.00.00	0.06689575	20.16237	0.9138633440033505		0.00467580099919227	271.5866830430252	100.0	-28.403892453099218
2021-11-18_17.00.00	0.06454249	19.62877	0.8719337661172106		0.003216681126035839	273.33977221974095	100.0	-28.70750641834681
2021-11-18_18.00.00	0.06299613	19.27265	0.8434496066054388		0.0038056989858497622	275.7775420574661	100.0	-29.000623027309302
