date	tau	Tb	pwv	lwp	iwp	o3	RHs	Ts
2021-12-02_12.00.00	0.5614325	122.4719	9.879746911179586			274.4899880899211	45.001398953311806	14.037516360848883
2021-12-02_13.00.00	0.5504145	120.8371	9.635037544499955			274.6045853803781	46.34453515253816	13.886142962202484
2021-12-02_14.00.00	0.5484797	120.5264	9.573542346007718			274.50759267530145	47.168830084119115	13.745773497684183
2021-12-02_15.00.00	0.5583777	122.0321	9.726086696383163			273.5926753014739	48.11350238169863	13.631166786256017
2021-12-02_16.00.00	0.5457328	120.0722	9.490965387261793			272.4603245496501	48.758425591339986	13.53051704597243
2021-12-02_17.00.00	0.5003593	112.7995	8.698878152391778			272.41041387524194	49.16425465420074	13.453018902659949
2021-12-02_18.00.00	0.4633611	106.6399	8.020659945552996			273.7724802739318	49.6280283990394	13.3292735090983
2021-12-02_19.00.00	0.4698346	107.8047	8.048009094444609			272.8292020247134	50.09686510596662	13.339937182070344
2021-12-02_20.00.00	0.499793	112.8959	8.511006072935052			270.95492779514666	49.02309719245878	13.593068329795528
2021-12-02_21.00.00	0.5239717	116.8585	8.955072246985969			269.6931665922287	47.2910275332336	13.92896944847979
2021-12-02_22.00.00	0.5717772	124.2936	9.816627277350644			270.16365192794404	46.67197893765241	14.058957742630298
2021-12-02_23.00.00	0.619653	131.3541	10.229781314506237	0.009702001376133066	5.5660005384868514e-05	270.4808322167634	47.0412970326558	13.888228302120922
2021-12-03_00.00.00	0.5629448	122.9437	9.57013791246597	0.0012302001376133065	3.7100008974780864e-06	270.1063346732172	47.7326814561142	13.56287234570533
2021-12-03_01.00.00	0.523765	116.7488	8.917099949142909			271.7243561113592	48.03272055141875	13.153236650184795
2021-12-03_02.00.00	0.4952846	111.9794	8.460561821282196			274.5660637189221	47.7280960793774	12.849675985943122
2021-12-03_03.00.00	0.4531942	104.8441	7.761946929129146			276.8880824772964	47.542687601542	12.644149404883535
2021-12-03_04.00.00	0.431545	101.0804	7.368357914260927			278.534836980795	47.34454151712165	12.480547471695274
2021-12-03_05.00.00	0.4118759	97.59337	7.013438238549675			280.7694655352092	47.48158888856401	12.437594979388905
2021-12-03_06.00.00	0.403505	96.12538	6.8487719508182			280.8885663242519	47.5658476547417	12.424487662127035
2021-12-03_07.00.00	0.3888735	93.51123	6.5566458252311			280.1506252791425	47.692462552790296	12.36857163273902
2021-12-03_08.00.00	0.3900107	93.6781	6.563191432075866			280.82622450498735	47.765119200995855	12.262847656112513
2021-12-03_09.00.00	0.3819413	92.12323	6.413127112812996			280.4158850677386	47.80097754044735	12.178291318707466
2021-12-03_10.00.00	0.3656578	89.02669	6.130236036736769			280.09330802441565	47.940525413067036	12.08528146918212
2021-12-03_11.00.00	0.3559674	87.11222	5.969823795135668			280.4559699270508	48.02421862321025	11.963969922572005
2021-12-03_12.00.00	0.3482664	85.58455	5.845741466479193			279.83110019353876	48.08526532087627	11.809211841045794
2021-12-03_13.00.00	0.3429622	84.4948	5.7616537529541985			278.1140390055084	48.03325969289318	11.659358047569299
2021-12-03_14.00.00	0.3335057	82.63778	5.598905076734376			277.01209617388713	47.99099007890526	11.569560659217473
2021-12-03_15.00.00	0.3171299	79.37348	5.329239836060669			278.3912088730088	47.951965936002615	11.506125538657898
2021-12-03_16.00.00	0.3032821	76.57898	5.108729470188769			279.7355962483251	47.601448904036275	11.510549894449696
2021-12-03_17.00.00	0.2857802	73.00762	4.822649355311574			280.0870552329909	47.01037772939265	11.52768858016077
2021-12-03_18.00.00	0.2791799	71.66188	4.7055404313878			280.42072353729344	46.94073272769329	11.524633252048716
2021-12-03_19.00.00	0.2902751	73.90206	4.88890417925629			280.491402411791	45.82277051753779	11.570572806068924
2021-12-03_20.00.00	0.3108937	78.08223	5.267918149998504			279.52981241625724	42.54249492700365	11.963739665855996
2021-12-03_21.00.00	0.3584596	87.28999	6.126825620007778			278.9496426976329	39.99442756049637	12.333452092416223
2021-12-03_22.00.00	0.3719459	89.82564	6.3710174409908165			278.0983325889534	39.01593829070221	12.537158104088917
2021-12-03_23.00.00	0.3811128	91.52066	6.531579262273012			276.5628628852166	39.28410634521358	12.490217823661624
2021-12-04_00.00.00	0.3916232	93.40952	6.704298920034701			275.9120887300878	40.36468962208247	12.21640427673185
2021-12-04_01.00.00	0.3987278	94.64163	6.8104197205851555			275.2168378740509	41.40630807184975	11.878627972450317
2021-12-04_02.00.00	0.4000404	94.85312	6.802435157208245			275.0969927050767	42.29015861326781	11.581850539178788
2021-12-04_03.00.00	0.3964411	94.16007	6.726101654351273			273.8197856185797	42.92152791814955	11.384405886916113
2021-12-04_04.00.00	0.3772926	90.63273	6.410096628473988			272.94275718326634	43.35498466524309	11.193870927614228
2021-12-04_05.00.00	0.3500262	85.47914	5.93366141143387			273.023075777877	43.49853121715777	11.050450069076874
2021-12-04_06.00.00	0.3242663	80.42579	5.5154067071529			272.4478561857972	43.55833239011601	10.94621873409011
2021-12-04_07.00.00	0.3131452	78.17223	5.345451281897867			272.3067217507816	43.45831509940493	10.859051819527394
2021-12-04_08.00.00	0.3092159	77.16224	5.363128608609807			271.99240732469855	43.37310642667642	10.774523200036299
2021-12-04_09.00.00	0.3149962	78.11535	5.526774762916205			271.0509155873158	43.25521740709446	10.671550289195636
2021-12-04_10.00.00	0.3126419	77.61526	5.481197834086218			269.6111359237755	43.2149865591899	10.547056886368352
2021-12-04_11.00.00	0.3064078	76.43078	5.334196906692195			268.16558731576595	43.40951450617212	10.386745246253781
2021-12-04_12.00.00	0.3049387	76.17875	5.280856792413319			268.82220485335716	43.75933406901626	10.237425659310759
2021-12-04_13.00.00	0.3015081	75.37107	5.271415322942532		0.0002089719986836988	268.9901369659074	44.073358719529395	10.12882804949777
2021-12-04_14.00.00	0.3130243	77.36611	5.594271098214018		1.6897998623866933e-05	267.9989206490993	44.234272226928255	10.056968172140103
2021-12-04_15.00.00	0.2982795	74.25311	5.411526610225266		8.91599904269004e-06	266.3545853803781	43.73337399659541	9.99368949410541
2021-12-04_16.00.00	0.2618281	66.77808	4.792565889849523		4.610000897478086e-05	266.1846062230162	42.86500729130269	9.953621960593296
2021-12-04_17.00.00	0.2532397	64.88055	4.674583420588147		2.228000119663745e-06	266.8232097662647	42.06476917111949	9.949963658016202
2021-12-04_18.00.00	0.2515924	64.34057	4.720229156071439		2.1532599395698087e-05	264.1302664880155	41.38743952925231	9.952476034221661
2021-12-04_19.00.00	0.2901681	72.33031	5.420680886708349		0.00027840000598318724	261.87085008188177	37.93743170730753	10.328344147124255
2021-12-04_20.00.00	0.3107901	76.27179	5.8758189487540005		0.009979199449546772	261.2743784427572	35.33018634557838	10.702601696227589
2021-12-04_21.00.00	0.3221829	78.50877	6.116346067550183		0.008413339515960152	261.60797230906655	33.874485984603005	11.003893798106276
2021-12-04_22.00.00	0.3127739	76.94877	5.8648427917551675		0.0007482262841415622	262.011054041983	33.28945806338833	11.14374850981477
2021-12-04_23.00.00	0.3053589	75.64634	5.666060370359291		4.934801208603823e-05	263.35413875241926	33.417182184967295	11.159662971705814
2021-12-05_00.00.00	0.2891237	72.49089	5.317099949142908		0.0009496999431597211	263.6018311746315	34.19903328297491	10.976373488397314
2021-12-05_01.00.00	0.2673698	68.16114	4.882639782211984		7.925299907260597e-06	264.1348444245943	34.92887460599355	10.76739824073411
2021-12-05_02.00.00	0.2402774	62.72751	4.288934095192509			265.202880750335	35.23178607586812	10.607393031508025
2021-12-05_03.00.00	0.2420194	63.11837	4.29651479343046			263.5985931219294	35.467842700863145	10.483756061205725
2021-12-05_04.00.00	0.2450922	63.70554	4.362578155383372			260.3519056126247	36.639399935540794	10.195087538076905
2021-12-05_05.00.00	0.2459885	63.64802	4.4538068028838955			262.0642399880899	37.70952464306998	9.815080715462841
2021-12-05_06.00.00	0.2416808	62.48361	4.465477009603015		1.2863999162353786e-06	262.2063421170165	36.2605642187289	9.808205886636244
2021-12-05_07.00.00	0.2209044	57.83067	4.141789571304634			262.1681926455263	31.896132335907787	9.999047199680149
