date	tau	Tb	pwv	lwp	iwp	o3	RHs	Ts
2021-11-12_06.00.00	0.4261189	95.56922	8.053435845274779		0.013744326442696023	279.71278100342414	60.226374315148256	3.23482688221992
2021-11-12_07.00.00	0.4146532	93.3686	7.8473569270350305		0.09911239417237563	282.2023596843829	61.099253422344326	3.183162163807083
2021-11-12_08.00.00	0.3987724	90.50578	7.564573548329196		0.13924270799054655	284.3309513175525	57.89001196665911	3.317939392827668
2021-11-12_09.00.00	0.4003055	90.68884	7.632449816016992		0.09267388637927422	285.0205076671133	54.05869605457167	3.442789027744766
2021-11-12_10.00.00	0.4089584	92.39252	7.778693870224669		0.031983606066951865	285.39928539526574	54.37221074148388	3.436996491405978
2021-11-12_11.00.00	0.4167269	93.96169	7.806868698955934		0.014337212433063093	287.0205076671133	59.30798459197041	3.0350990934358606
2021-11-12_12.00.00	0.4043372	92.0312	7.444455081221767		0.003354737188500314	288.1482804823582	63.89125416002986	2.730355101829957
2021-11-12_13.00.00	0.3923322	90.00053	7.171741406647321		0.0007115230203129207	289.73853654905463	67.22136704925673	2.62160420773165
2021-11-12_14.00.00	0.3955928	90.61016	7.18023753253358		0.000133417985460855	292.2840181628703	75.09914674611593	2.0912718912003356
2021-11-12_15.00.00	0.3786064	87.62651	6.8615729799264065		0.00014625000747898404	292.2020619324103	78.86103272336952	1.8305223350156439
2021-11-12_16.00.00	0.365641	85.24896	6.644123014329733		4.4740000598318726e-05	293.07871817775793	79.24977156061034	1.7801109514781501
2021-11-12_17.00.00	0.3434587	81.22791	6.25560175905705		2.1859999401681277e-06	294.48790382611287	74.6213673736056	2.0649570771516323
2021-11-12_18.00.00	0.3227021	77.38305	5.865988572112364			296.49032306089026	73.61676080139982	2.062715798848785
2021-11-12_19.00.00	0.3081924	74.61938	5.575702276602746			296.5492779514664	76.38842318255769	1.7831391599954145
2021-11-12_20.00.00	0.2900895	71.11498	5.2319502198821315			297.4370998957868	76.05005414143304	1.6796125306872796
2021-11-12_21.00.00	0.281094	69.33662	5.060576779250306			297.2133765073694	77.767940369506	1.4428057479239556
2021-11-12_22.00.00	0.2822098	69.51369	5.071403356568044			296.55259044216166	81.69993645471558	1.0419180721019075
2021-11-12_23.00.00	0.2805874	69.20056	5.019801358183504			294.619956825964	85.3222070069943	0.6703628153860564
2021-11-13_00.00.00	0.2881277	70.68267	5.126340981841026			294.19320381122526	87.61142227905441	0.43510901965873927
2021-11-13_01.00.00	0.2861362	70.27618	5.101750082268825			294.5567217507816	82.82955332874256	0.6712341379868008
2021-11-13_02.00.00	0.2594727	64.94212	4.664184641158345		8.985999341849403e-06	295.8200833705523	76.92521963239804	0.9786954592125312
2021-11-13_03.00.00	0.2533368	63.74022	4.533230621952314		1.703099889311036e-05	293.41238648206047	78.70930637365734	0.7355327762909383
2021-11-13_04.00.00	0.2575156	64.57907	4.593804409608999		0.00035107398211027015	290.5605553074289	79.57592580498348	0.5895393544377612
2021-11-13_05.00.00	0.262049	65.46905	4.671367457444581		0.00018011200526520476	288.4260086348072	79.54414525212566	0.4917584848710703
2021-11-13_06.00.00	0.2650644	66.06205	4.718075208663655		0.0003355658599335866	286.443576001191	83.52595302102536	0.13474518068642283
2021-11-13_07.00.00	0.2658432	66.15774	4.753241391689353		8.914000658150597e-06	285.72859907696886	83.3315148064347	0.09105115180892653
2021-11-13_08.00.00	0.2809617	69.10164	5.051601998384539			284.7045556051809	85.36170294835614	-0.1151755259913898
2021-11-13_09.00.00	0.2923493	71.28216	5.311765937715021		0.0008451999880336254	281.15784576447817	83.37875699102773	-0.1687836385175956
2021-11-13_10.00.00	0.314161	75.50651	5.697902892871032	7.281000388907171e-05	2.9719998803362552e-06	277.6706863182969	83.15569392194361	-0.3880970872334615
2021-11-13_11.00.00	0.3325398	78.87965	6.0511383013731415	0.0008177999820504383	4.802898854219643e-06	276.105999702248	79.82335420432588	-0.42348723534377086
2021-11-13_12.00.00	0.3236952	77.19233	5.758605319053459	0.0045960002393274895	7.089999102521914e-07	278.165847848742	75.19635136688737	-0.3565201870060264
2021-11-13_13.00.00	0.3336752	79.25306	5.193086427139737	0.021340000598318722	2.6080001196637447e-06	278.99821348816437	76.97062380075917	-0.48854453725891744
2021-11-13_14.00.00	0.3116341	75.07399	4.639339456128279	0.023681999581176894	1.4551000688066532e-05	279.28152449009974	81.79847560164082	-0.8599363789743961
2021-11-13_15.00.00	0.2876339	70.38075	4.157226194393753	0.024067998923026294	1.878899991025219e-05	280.22621706118804	83.76483007069227	-1.114162958718282
2021-11-13_16.00.00	0.3051264	73.82583	3.8353367038621475	0.03889601220570198	0.0002367350046369701	281.27854697037367	86.01042236582423	-1.343436910250034
2021-11-13_17.00.00	0.3213389	76.77498	3.788536213240793	0.04821000987225895	0.0019537299189278127	280.5229641208873	87.24719450191411	-1.8595285101261538
2021-11-13_18.00.00	0.2772775	67.91667	3.82097705447692	0.030599994016812754	0.0020954829927902594	280.758858121185	82.56359131137367	-2.1618143248416573
2021-11-13_19.00.00	0.2140319	54.71546	3.7988392616746935	0.005056998833278487	0.00020118401292368445	282.2641804376954	77.67190999355662	-2.396943872749887
2021-11-13_20.00.00	0.2041829	52.59049	3.761285786938702	0.0018329000508570915	0.0009008891016244353	284.5695995235968	74.68210173279381	-2.5103193188947444
2021-11-13_21.00.00	0.1877977	49.12746	3.5050169025039635	0.00018080001196637448	0.0007979950339545875	285.8003573023671	70.32581196973071	-2.4338616538791484
2021-11-13_22.00.00	0.1823142	47.96389	3.391934663595297	0.00035590002094115536	0.00013638301373141473	287.9344945660265	66.46897759571301	-2.3431900175042415
2021-11-13_23.00.00	0.1798792	47.43975	3.329990726059772	0.0005943001166721512	2.2662999970084063e-05	288.008597588209	65.47397229645297	-2.4664728747803792
2021-11-14_00.00.00	0.1778466	47.0364	3.26444191820983	0.0008703000568402788	5.4419989828581685e-06	287.8609498287926	65.95804544443223	-2.67707004598617
2021-11-14_01.00.00	0.1775785	47.09916	3.1292129117180725	0.002755000149579681	1.538000119663745e-05	286.60655798719665	68.02948598223523	-2.963778130793287
2021-11-14_02.00.00	0.1854451	48.90538	3.0951207108026444	0.00602699913243785	2.108000119663745e-05	286.41670388566325	69.5824389598762	-3.1409648231988285
2021-11-14_03.00.00	0.1792644	47.61538	3.0422592515032756	0.003739001406049002	2.7429999700840638e-05	285.25033497096916	69.21804501036779	-3.193582272201695
2021-11-14_04.00.00	0.1808265	47.96804	3.06699374756933	0.003022000179495617	3.2950010470577674e-05	283.3152076820009	71.38247730330437	-3.4591526075916477
2021-11-14_05.00.00	0.1825104	48.30625	3.116887545995752	0.0018780001196637447	3.785999341849403e-05	282.767641804377	74.1861189418211	-3.8339553882472046
2021-11-14_06.00.00	0.1855714	48.90398	3.213901935561073	0.000591199928201753	2.5740000598318725e-05	283.10934941193983	74.91290679314206	-4.061477150666121
2021-11-14_07.00.00	0.1944021	50.7149	3.3870404164298322	0.0001888000119663745	1.5829999700840637e-05	282.47513771028736	75.52036938604245	-4.228100370600885
2021-11-14_08.00.00	0.2032019	52.52628	3.564836808567924		2.7789999102521912e-06	282.2532380527021	73.12430284715984	-4.05433673788724
2021-11-14_09.00.00	0.2092115	53.75242	3.6768420737726983		5.352999072605977e-07	280.1832663391395	72.67553124781568	-3.9557980092021126
2021-11-14_10.00.00	0.2174149	55.43175	3.8173063691028206		5.623998564035061e-06	278.94826559475956	73.85719193003844	-3.9046721587333195
2021-11-14_11.00.00	0.2322877	58.49386	4.079199449546773	6.0639991623537853e-05	1.2693998863194423e-05	280.0867574810183	74.82486180888101	-3.727675856534063
2021-11-14_12.00.00	0.2478693	61.63467	4.366108235857241		1.7210000897478087e-06	285.31621259490845	74.85299459382806	-3.5007701167855885
2021-11-14_13.00.00	0.2603931	64.14126	4.592293654829928	1.0689999102521913e-06	1.3629999700840638e-06	288.16376358493375	74.20542026907923	-3.300041622370941
2021-11-14_14.00.00	0.2733496	66.67891	4.818820115475513	9.799000807730277e-05	2.2070000299159363e-06	287.99910674408216	75.13813375572511	-3.235814885009745
2021-11-14_15.00.00	0.2839096	68.69683	5.011801836838484		4.43499865378287e-06	289.48831323507517	76.05000794788852	-3.1747007912283607
2021-11-14_16.00.00	0.2963052	71.02965	5.230592036377778		1.1815999042690041e-05	292.4480422807801	77.96753271043208	-3.156155755151474
2021-11-14_17.00.00	0.3132337	74.18728	5.526822628414156		0.0006935429443264427	296.5927869584636	80.82649551470308	-3.1982902234513517
2021-11-14_18.00.00	0.3319045	77.5778	5.853911508660664	2.7910000897478085e-05	0.0038713794238190683	300.84643442012805	83.28888290340421	-3.225663870509834
2021-11-14_19.00.00	0.340299	79.06569	5.994630089448649		0.007834678553265324	305.580467470597	85.57911253437854	-3.2969997492031666
2021-11-14_20.00.00	0.3370298	78.43493	5.9476501032099796		0.0034228677416459747	305.34178204555604	86.27308229957616	-3.3365360470544942
2021-11-14_21.00.00	0.3173889	74.79689	5.629039399288001		3.267699763664104e-05	303.90107190710137	85.47430329640547	-3.3640822007913584
2021-11-14_22.00.00	0.3207463	75.3072	5.706772967960032		0.000918864091901756	301.51998660116124	84.28168285568212	-3.417429242958235
2021-11-14_23.00.00	0.3195884	75.07361	5.681775211655249		0.0019778939180901665	297.02084263808246	80.60905367625722	-3.327382163132995
2021-11-15_00.00.00	0.3126457	73.79857	5.563789750800251		0.0026885230502288566	292.04417894893555	77.69060815551464	-3.256758490741106
2021-11-15_01.00.00	0.3319674	77.25665	5.915583211176593		0.07354441020731743	289.34729045704927	77.97038934243587	-3.3990626267456605
2021-11-15_02.00.00	0.3299488	76.90098	5.8865049211715075		0.04974727017081999	288.75204704481166	76.60811276189476	-3.367036073564975
2021-11-15_03.00.00	0.3309154	77.06929	5.8962575163789746		0.10629631734825142	285.1585901444097	77.7363083813316	-3.466301747687055
2021-11-15_04.00.00	0.3520676	80.9254	6.188590061925988		0.2669874951386604	284.381978561858	79.49453915713003	-3.5295068240106957
2021-11-15_05.00.00	0.3454913	79.79609	6.113542944326443		0.17423660513955785	282.82719219889833	79.55160539218835	-3.395508693344425
2021-11-15_06.00.00	0.3445932	79.65052	6.122792951805426		0.12478439584766805	282.5597737085008	77.8065042194289	-3.226136792131456
2021-11-15_07.00.00	0.3340163	77.73803	5.958225386663476		0.07898875160798156	283.67224951615304	73.15554626690826	-2.909895434021621
2021-11-15_08.00.00	0.3333283	77.58268	5.930795464744069		0.12028375265503934	285.7052627661158	72.43585464808508	-2.876363412050978
2021-11-15_09.00.00	0.3481537	80.34158	6.153139677506208		0.10992341520327878	287.3261872859908	74.05013337798508	-2.956946895465137
2021-11-15_10.00.00	0.3336916	77.73826	5.956544111047955		0.006116923445119215	287.61720262021737	73.92267357573952	-2.888279866582991
